,src,tgt
438,8761 9252 2137 5341 2068 4358 6169 7377 32 8877 4256 3315 7201 3628 7880 2792 1771 2928 6673 5482 3326 5754 3619 770 4724 3837 9988 7995 9296 2566 6756 71 6400 5786 6462 7722 8054 7458 9886 4115 2444 4896 3428 3119 8927 1382 9852 7566 4828 9373 1908 2317 2036 9880 9190 873 9623 6477 1267 9798 8288 1148 5339 9238 9041 9766 7472 3604 1434 2777 2400 1101 9424 9172 9706 5843 1012 5949 5460 2729 8766 8592 3533 7627 2126 5063 9628 3283 8791 5101 9069 7561 2043 3660 8341 7809 5350 8238 562 2018 7134 7384 3998 6074 1318 9567 7784 675 4367 1456 6596 2659 2131 2451 4378 9848 9240 6752 3192 9280 6794 859 9445 3474 2345 489 1284 96 4137 5490 9338 9795 6295 2891 3756 4054 9576 3304 1648 6556 7257 8955 6439 6448 6843 7875 3157 2508 86 8489 6284 9048 2158 303 1766 3493 5046 8155 4614 5056 5739 914 3450 3627 5967 9619 8303 5570 8486 7293 3819 9731 5949 3668 6152 8362 9861 1159 7809 9441 609 4579 4774 2832 3522 8228 4139 7315 1386 1451 5002 5710 6481 6986 5989 1428 972 3358 9535 6156,8761 9252 2137 5341 2068 4358 6169 7377 32 8877 4256 3315 7201 3628 7880 2792 1771 2928 6673 5482 3326 5754 3619 770 4724 3837 9988 7995 9296 2566 6756 71 6400 5786 6462 7722 8054 7458 9886 4115 2444 4896 3428 3119 8927 1382 9852 7566 4828 9373 1908 2317 2036 9880 9190 873 9623 6477 1267 9798 8288 1148 5339 9238 9041 9766 7472 3604 1434 2777 2400 1101 9424 9172 9706 5843 1012 5949 5460 2729 8766 8592 3533 7627 2126 5063 9628 3283 8791 5101 9069 7561 2043 3660 8341 7809 5350 8238 562 2018 7134 7384 3998 6074 1318 9567 7784 675 4367 1456 6596 2659 2131 2451 4378 9848 9240 6752 3192 9280 6794 859 9445 3474 2345 489 1284 96 4137 5490 9338 9795 6295 2891 3756 4054 9576 3304 1648 6556 7257 8955 6439 6448 6843 7875 3157 2508 86 8489 6284 9048 2158 303 1766 3493 5046 8155 4614 5056 5739 914 3450 3627 5967 9619 8303 5570 8486 7293 3819 9731 5949 3668 6152 8362 9861 1159 7809 9441 609 4579 4774 2832 3522 8228 4139 7315 1386 1451 5002 5710 6481 6986 5989 1428 972 3358 9535 6156
439,6486 6652 1756 3141 3276 8399 2789 6036 4967 4330 1733 1207 784 5954 6279 8015 7095 2556 7256 4630 1772 9352 1653 4655 7853 6623 7357 7516 9559 3123 4523 1591 5079 2043 1347 3672 8878 7345 2757 7826 615 8853 676 2199 7 427 6985 7854 6816 551 6052 8319 9949 6995 781 5870 2350 6161 4270 3713 1073 2536 9312 110 3849 3294 4784 1762 2846 9349 3746 4649 4804 876 1403 3038 3189 5416 5383 8230 1638 5636 2777 8559 6750 9489 7079 2470 9296 9152 9936 3355 9415 8926 9152 9594 9101 5881 7236 6958 2920 953 1176 8463 3179 2777 7131 7897 4140 4149 5578 1244 4012 2184 8229 6745 9838 4482 3763 1096 156 6796 4775 8146 2942 5345 8816 3650 3623 676 2588 1380 4671 6968 7734 2441 3506 9252 1699 6978 8035 9645 1364 1986 2518 5271 7723 4184 4029 9194 5697 3343 9459 6994 736 7793 6067 2550 776 4711 3182 1668 7448 1643 2734 123 8083 2252 4890 5908 5154 2077 7921 820 8297 7154 7357 881 6652 6096 3039 556 2117 6471 2838 845 9748 8857 797 6076 9068 7533 4246 3035 4611 5041 6214 7672 6511 3575,6486 6652 1756 3141 3276 8399 2789 6036 4967 4330 1733 1207 784 5954 6279 8015 7095 2556 7256 4630 1772 9352 1653 4655 7853 6623 7357 7516 9559 3123 4523 1591 5079 2043 1347 3672 8878 7345 2757 7826 615 8853 676 2199 7 427 6985 7854 6816 551 6052 8319 9949 6995 781 5870 2350 6161 4270 3713 1073 2536 9312 110 3849 3294 4784 1762 2846 9349 3746 4649 4804 876 1403 3038 3189 5416 5383 8230 1638 5636 2777 8559 6750 9489 7079 2470 9296 9152 9936 3355 9415 8926 9152 9594 9101 5881 7236 6958 2920 953 1176 8463 3179 2777 7131 7897 4140 4149 5578 1244 4012 2184 8229 6745 9838 4482 3763 1096 156 6796 4775 8146 2942 5345 8816 3650 3623 676 2588 1380 4671 6968 7734 2441 3506 9252 1699 6978 8035 9645 1364 1986 2518 5271 7723 4184 4029 9194 5697 3343 9459 6994 736 7793 6067 2550 776 4711 3182 1668 7448 1643 2734 123 8083 2252 4890 5908 5154 2077 7921 820 8297 7154 7357 881 6652 6096 3039 556 2117 6471 2838 845 9748 8857 797 6076 9068 7533 4246 3035 4611 5041 6214 7672 6511 3575
440,7541 7922 8496 16 9576 8790 1989 3467 5699 3302 8716 5461 3609 674 3231 9422 7359 3091 7705 6992 193 8924 9597 8248 330 8271 2791 2161 5938 7066 3830 4079 9200 6610 886 3266 2239 5914 562 6729 2717 1808 5475 7144 60 3275 2402 6977 7051 8298 4409 5232 7226 6046 4274 4745 4860 2079 7838 4352 6365 2224 6478 9550 5350 401 5375 1578 1983 1214 9298 6062 8226 983 5425 4610 6882 0 4734 6381 6786 5702 9309 5182 357 6330 8374 5665 5093 5591 9065 4351 6816 954 3216 8216 6927 8547 392 2614 6549 1046 3587 3386 7576 9632 8635 2872 1042 4858 2609 6979 9787 3192 1530 244 5358 4227 4740 581 6166 5643 3232 1424 8863 8402 9272 2188 2433 9588 5366 3047 3077 4481 1440 9600 2971 9811 8743 6820 6359 6873 4534 4535 2435 9807 6923 6400 2892 4662 2874 4227 7603 4414 439 5205 2598 8466 9701 5767 207 1176 2065 6503 3210 993 3652 8240 3224 9489 8788 9252 1728 1192 3123 2966 5374 8201 2711 383 7014 2162 171 6245 2072 1853 8063 5784 7228 8062 7306 9305 2054 6748 2968 9003 8310 5747 9523 7473,7541 7922 8496 16 9576 8790 1989 3467 5699 3302 8716 5461 3609 674 3231 9422 7359 3091 7705 6992 193 8924 9597 8248 330 8271 2791 2161 5938 7066 3830 4079 9200 6610 886 3266 2239 5914 562 6729 2717 1808 5475 7144 60 3275 2402 6977 7051 8298 4409 5232 7226 6046 4274 4745 4860 2079 7838 4352 6365 2224 6478 9550 5350 401 5375 1578 1983 1214 9298 6062 8226 983 5425 4610 6882 0 4734 6381 6786 5702 9309 5182 357 6330 8374 5665 5093 5591 9065 4351 6816 954 3216 8216 6927 8547 392 2614 6549 1046 3587 3386 7576 9632 8635 2872 1042 4858 2609 6979 9787 3192 1530 244 5358 4227 4740 581 6166 5643 3232 1424 8863 8402 9272 2188 2433 9588 5366 3047 3077 4481 1440 9600 2971 9811 8743 6820 6359 6873 4534 4535 2435 9807 6923 6400 2892 4662 2874 4227 7603 4414 439 5205 2598 8466 9701 5767 207 1176 2065 6503 3210 993 3652 8240 3224 9489 8788 9252 1728 1192 3123 2966 5374 8201 2711 383 7014 2162 171 6245 2072 1853 8063 5784 7228 8062 7306 9305 2054 6748 2968 9003 8310 5747 9523 7473
441,5995 2651 5381 9651 1676 9793 5378 6685 7454 946 8318 7942 3422 983 3067 52 2451 3978 8587 2781 9005 5496 6212 2203 5092 9379 2415 5313 9084 1052 957 1489 6995 4864 475 9302 952 9436 9558 7280 9756 1194 5548 7811 9773 7936 1640 7494 5982 653 7090 8263 5791 3399 5572 3764 4574 5264 1717 8831 3973 7371 1934 7020 9824 7522 3487 6354 2438 7159 1098 2910 7254 4743 9792 9471 5403 3692 6771 3870 19 435 4037 9920 5712 2258 4172 1002 6293 7008 7057 991 8591 6663 551 7738 289 8166 5945 4172 3015 1414 3653 7656 848 4519 1833 938 1856 6677 8099 567 5515 6768 6008 1872 5215 1114 9296 8986 8759 1135 2630 4986 8717 1198 1303 598 3025 1729 6837 9399 3385 515 9792 1374 7352 8761 3900 8019 1885 7758 964 6459 4698 3431 549 8579 6076 5590 212 5791 1870 8170 5879 5604 3935 8911 5996 5323 530 8293 6805 386 3915 7205 7032 4983 779 4331 3273 1292 7650 8676 6011 3620 4178 6713 4192 8895 7201 9273 9076 5601 8862 4963 5893 218 5737 5287 2098 1705 7617 9512 9737 4761 4043 946 578 9121,5995 2651 5381 9651 1676 9793 5378 6685 7454 946 8318 7942 3422 983 3067 52 2451 3978 8587 2781 9005 5496 6212 2203 5092 9379 2415 5313 9084 1052 957 1489 6995 4864 475 9302 952 9436 9558 7280 9756 1194 5548 7811 9773 7936 1640 7494 5982 653 7090 8263 5791 3399 5572 3764 4574 5264 1717 8831 3973 7371 1934 7020 9824 7522 3487 6354 2438 7159 1098 2910 7254 4743 9792 9471 5403 3692 6771 3870 19 435 4037 9920 5712 2258 4172 1002 6293 7008 7057 991 8591 6663 551 7738 289 8166 5945 4172 3015 1414 3653 7656 848 4519 1833 938 1856 6677 8099 567 5515 6768 6008 1872 5215 1114 9296 8986 8759 1135 2630 4986 8717 1198 1303 598 3025 1729 6837 9399 3385 515 9792 1374 7352 8761 3900 8019 1885 7758 964 6459 4698 3431 549 8579 6076 5590 212 5791 1870 8170 5879 5604 3935 8911 5996 5323 530 8293 6805 386 3915 7205 7032 4983 779 4331 3273 1292 7650 8676 6011 3620 4178 6713 4192 8895 7201 9273 9076 5601 8862 4963 5893 218 5737 5287 2098 1705 7617 9512 9737 4761 4043 946 578 9121
442,5183 7591 8229 8446 1360 6690 5841 1083 366 6111 5092 6149 3214 9231 2456 5625 4290 47 5218 3364 7038 4912 773 1741 7841 1217 9432 801 4651 3368 8451 2398 6516 6862 9733 3923 2181 9631 550 6481 210 555 9101 3674 8490 4879 7208 5158 6315 7627 1107 3019 8519 5900 9811 5935 9072 255 2160 8810 2353 6582 8933 7488 7453 6747 1788 6922 3205 4868 3409 594 8715 6297 7861 2061 6399 9086 1671 9994 7824 8967 8596 5159 7813 8356 8721 753 5616 1880 4496 1274 8717 1173 3257 9662 9752 447 2423 2354 1340 245 3871 5353 8791 743 5617 4945 3570 2196 7297 4181 6849 6193 732 2234 6847 3140 6273 9902 4292 4354 1268 6134 7778 7766 1043 503 6178 514 1121 6208 9098 7328 8551 6470 123 6261 9867 204 7713 2372 4666 7676 4671 8124 6520 8032 1492 4680 2513 1798 578 5758 6640 4569 8286 9537 8099 6836 8079 8537 6115 399 8171 1056 6823 1219 5796 8960 3333 4599 7875 2390 3859 9357 5157 7632 4726 7075 1980 4105 4701 828 5405 1244 7837 1313 5688 3142 6659 9048 7205 7310 1571 690 6599 6715 7417 933,5183 7591 8229 8446 1360 6690 5841 1083 366 6111 5092 6149 3214 9231 2456 5625 4290 47 5218 3364 7038 4912 773 1741 7841 1217 9432 801 4651 3368 8451 2398 6516 6862 9733 3923 2181 9631 550 6481 210 555 9101 3674 8490 4879 7208 5158 6315 7627 1107 3019 8519 5900 9811 5935 9072 255 2160 8810 2353 6582 8933 7488 7453 6747 1788 6922 3205 4868 3409 594 8715 6297 7861 2061 6399 9086 1671 9994 7824 8967 8596 5159 7813 8356 8721 753 5616 1880 4496 1274 8717 1173 3257 9662 9752 447 2423 2354 1340 245 3871 5353 8791 743 5617 4945 3570 2196 7297 4181 6849 6193 732 2234 6847 3140 6273 9902 4292 4354 1268 6134 7778 7766 1043 503 6178 514 1121 6208 9098 7328 8551 6470 123 6261 9867 204 7713 2372 4666 7676 4671 8124 6520 8032 1492 4680 2513 1798 578 5758 6640 4569 8286 9537 8099 6836 8079 8537 6115 399 8171 1056 6823 1219 5796 8960 3333 4599 7875 2390 3859 9357 5157 7632 4726 7075 1980 4105 4701 828 5405 1244 7837 1313 5688 3142 6659 9048 7205 7310 1571 690 6599 6715 7417 933
443,7289 7078 9820 931 1611 6243 8821 4193 1136 4942 6323 7328 6113 4019 5701 552 7319 8032 8920 7443 3581 7279 7774 7910 6538 4888 3740 1588 245 7999 5052 4026 1290 1895 5358 2114 2137 619 1926 3790 6829 6757 4764 852 5235 2190 5866 8649 6389 2467 6243 6447 9670 9620 752 4417 3918 3673 4372 737 5470 3837 8747 907 6036 8554 1082 5107 6156 7940 5800 414 2453 4544 7489 3729 9847 9878 2631 615 7995 4971 7628 7205 270 3154 7605 4418 2762 536 937 6206 123 5378 4049 4268 7942 2047 6017 8552 8851 1333 1054 2402 8135 7982 8515 7992 7914 4616 825 9138 231 7840 2940 6042 4152 4012 7000 9101 3728 6171 4850 527 6118 1435 7605 8824 6238 4006 5246 4486 4082 1060 6427 4514 2839 2364 73 6196 1562 4636 6402 1341 7216 2367 2700 7945 273 3535 3777 4086 6902 3790 5558 8615 3135 8500 236 2091 1886 7825 347 3320 723 5451 7373 9301 9078 229 4692 2784 1527 733 5148 3963 207 1925 5102 6121 2770 1896 8969 9166 7988 1544 2149 6376 2256 4305 3455 4562 3028 6092 9481 3455 8797 9055 5213 6249,7289 7078 9820 931 1611 6243 8821 4193 1136 4942 6323 7328 6113 4019 5701 552 7319 8032 8920 7443 3581 7279 7774 7910 6538 4888 3740 1588 245 7999 5052 4026 1290 1895 5358 2114 2137 619 1926 3790 6829 6757 4764 852 5235 2190 5866 8649 6389 2467 6243 6447 9670 9620 752 4417 3918 3673 4372 737 5470 3837 8747 907 6036 8554 1082 5107 6156 7940 5800 414 2453 4544 7489 3729 9847 9878 2631 615 7995 4971 7628 7205 270 3154 7605 4418 2762 536 937 6206 123 5378 4049 4268 7942 2047 6017 8552 8851 1333 1054 2402 8135 7982 8515 7992 7914 4616 825 9138 231 7840 2940 6042 4152 4012 7000 9101 3728 6171 4850 527 6118 1435 7605 8824 6238 4006 5246 4486 4082 1060 6427 4514 2839 2364 73 6196 1562 4636 6402 1341 7216 2367 2700 7945 273 3535 3777 4086 6902 3790 5558 8615 3135 8500 236 2091 1886 7825 347 3320 723 5451 7373 9301 9078 229 4692 2784 1527 733 5148 3963 207 1925 5102 6121 2770 1896 8969 9166 7988 1544 2149 6376 2256 4305 3455 4562 3028 6092 9481 3455 8797 9055 5213 6249
444,4750 7481 7345 7232 8095 6286 1683 9070 1677 2362 7806 2093 5056 340 9252 6020 1024 910 2949 577 7613 4834 2921 5346 6208 8361 3913 6276 7587 4973 9775 753 6074 6418 5270 404 4443 2382 5254 7040 5967 2642 5954 9210 6788 6573 2964 5752 7984 4606 5475 671 8626 4000 4136 3977 3112 4664 1379 3460 946 9193 6343 5995 9510 890 6411 7540 432 1230 9380 1979 3182 7109 5556 8223 7608 6222 3723 2472 2719 9240 5925 1255 9942 3577 9024 8725 1480 3605 2990 8623 3974 2448 2577 1772 8533 3066 1620 7603 6276 5852 8823 8772 803 625 8765 7669 6125 8935 7730 6940 8453 8382 7686 7661 2220 8014 368 4779 7483 4500 3641 5767 3163 9276 382 192 7458 4573 5873 7140 4223 9273 8681 3147 4472 808 3296 5264 1021 1291 2443 9816 4888 4482 904 8875 9209 7418 6825 4819 2279 2118 5226 9368 9172 4217 3366 4651 7078 7683 9397 6545 2527 386 2075 8394 1992 3474 3566 7543 224 2997 2625 7190 8348 5068 9684 3063 2601 7761 2412 8487 6332 2095 747 5675 1552 4896 3487 6129 1105 3804 7119 887 7157 2644 9931 8097,4750 7481 7345 7232 8095 6286 1683 9070 1677 2362 7806 2093 5056 340 9252 6020 1024 910 2949 577 7613 4834 2921 5346 6208 8361 3913 6276 7587 4973 9775 753 6074 6418 5270 404 4443 2382 5254 7040 5967 2642 5954 9210 6788 6573 2964 5752 7984 4606 5475 671 8626 4000 4136 3977 3112 4664 1379 3460 946 9193 6343 5995 9510 890 6411 7540 432 1230 9380 1979 3182 7109 5556 8223 7608 6222 3723 2472 2719 9240 5925 1255 9942 3577 9024 8725 1480 3605 2990 8623 3974 2448 2577 1772 8533 3066 1620 7603 6276 5852 8823 8772 803 625 8765 7669 6125 8935 7730 6940 8453 8382 7686 7661 2220 8014 368 4779 7483 4500 3641 5767 3163 9276 382 192 7458 4573 5873 7140 4223 9273 8681 3147 4472 808 3296 5264 1021 1291 2443 9816 4888 4482 904 8875 9209 7418 6825 4819 2279 2118 5226 9368 9172 4217 3366 4651 7078 7683 9397 6545 2527 386 2075 8394 1992 3474 3566 7543 224 2997 2625 7190 8348 5068 9684 3063 2601 7761 2412 8487 6332 2095 747 5675 1552 4896 3487 6129 1105 3804 7119 887 7157 2644 9931 8097
445,1366 6447 5866 4008 7946 8413 46 9793 2601 6586 665 7666 469 2245 924 2497 4971 3454 2110 8370 994 2648 845 7739 6988 6304 9364 7797 6372 5990 2637 3987 1984 6129 1228 2281 3092 7634 6579 2613 1786 1338 4008 4629 9762 7374 4822 189 8116 3072 707 4941 4030 7556 8381 9735 4165 8246 347 9108 8415 2985 5439 9204 9363 4265 7774 2958 2753 6877 8599 3564 8344 3715 5621 4688 5768 7556 9941 538 4554 7849 835 1527 3537 5905 7211 8251 8592 4676 6569 7931 8952 8405 4563 6190 8103 7580 8198 7531 8993 9981 5971 1864 7954 2448 3887 657 4548 9041 9466 3890 45 4759 644 6666 4513 7550 4413 4864 4614 1946 522 1695 3836 759 87 4192 1306 9142 8929 1464 6263 2013 4265 4691 2276 6080 23 9612 5432 3927 7243 2771 2445 735 7359 2964 1324 5323 2240 8510 321 2773 6648 981 6435 582 3545 9386 7726 6154 186 199 4707 4508 9857 1674 1592 7171 4832 1819 8779 9467 8080 385 7223 5869 6513 84 1130 9140 7624 918 6288 2158 408 4371 1181 3833 889 4579 2093 9855 2432 7671 9480 7514 1355 4336,1366 6447 5866 4008 7946 8413 46 9793 2601 6586 665 7666 469 2245 924 2497 4971 3454 2110 8370 994 2648 845 7739 6988 6304 9364 7797 6372 5990 2637 3987 1984 6129 1228 2281 3092 7634 6579 2613 1786 1338 4008 4629 9762 7374 4822 189 8116 3072 707 4941 4030 7556 8381 9735 4165 8246 347 9108 8415 2985 5439 9204 9363 4265 7774 2958 2753 6877 8599 3564 8344 3715 5621 4688 5768 7556 9941 538 4554 7849 835 1527 3537 5905 7211 8251 8592 4676 6569 7931 8952 8405 4563 6190 8103 7580 8198 7531 8993 9981 5971 1864 7954 2448 3887 657 4548 9041 9466 3890 45 4759 644 6666 4513 7550 4413 4864 4614 1946 522 1695 3836 759 87 4192 1306 9142 8929 1464 6263 2013 4265 4691 2276 6080 23 9612 5432 3927 7243 2771 2445 735 7359 2964 1324 5323 2240 8510 321 2773 6648 981 6435 582 3545 9386 7726 6154 186 199 4707 4508 9857 1674 1592 7171 4832 1819 8779 9467 8080 385 7223 5869 6513 84 1130 9140 7624 918 6288 2158 408 4371 1181 3833 889 4579 2093 9855 2432 7671 9480 7514 1355 4336
446,4645 5280 249 6854 2692 2569 9445 2817 8271 7176 2107 3135 9672 2899 6444 6145 2114 6904 5002 56 7394 4825 6930 4575 3431 2540 1008 8371 6919 3836 7593 4706 9531 425 5282 1770 4684 9678 2271 3382 2288 9027 3300 4367 1726 6199 3219 5999 6924 4147 1603 5596 7042 3029 4046 7440 4806 6559 4310 4937 5175 8709 3336 5672 5193 1931 7667 7322 9947 7127 324 3590 3298 7221 2378 445 5911 3749 270 4420 1960 4387 5824 7355 8691 9321 2211 3668 3218 9072 711 5712 7034 6828 9669 8779 7798 9899 6575 5514 6204 2767 5645 1185 1436 8317 5282 4508 4705 4073 130 9660 1429 7874 2546 1881 8050 1264 2304 4989 5351 8579 7379 3941 55 9971 7559 1385 1479 6306 8718 4661 7141 7826 1288 8458 9938 7628 230 1655 582 1535 5 1175 3865 1484 7207 698 5265 9898 7377 7721 9840 1893 3368 3635 5944 3248 2043 5853 3630 72 8391 3501 4785 5201 943 5536 452 963 7949 4034 8000 5719 2147 3770 4439 3604 9381 9289 1094 4731 5112 8114 1140 6691 1309 4768 6358 159 3896 1229 8075 9926 2881 3057 4230 7231 9174 8499,4645 5280 249 6854 2692 2569 9445 2817 8271 7176 2107 3135 9672 2899 6444 6145 2114 6904 5002 56 7394 4825 6930 4575 3431 2540 1008 8371 6919 3836 7593 4706 9531 425 5282 1770 4684 9678 2271 3382 2288 9027 3300 4367 1726 6199 3219 5999 6924 4147 1603 5596 7042 3029 4046 7440 4806 6559 4310 4937 5175 8709 3336 5672 5193 1931 7667 7322 9947 7127 324 3590 3298 7221 2378 445 5911 3749 270 4420 1960 4387 5824 7355 8691 9321 2211 3668 3218 9072 711 5712 7034 6828 9669 8779 7798 9899 6575 5514 6204 2767 5645 1185 1436 8317 5282 4508 4705 4073 130 9660 1429 7874 2546 1881 8050 1264 2304 4989 5351 8579 7379 3941 55 9971 7559 1385 1479 6306 8718 4661 7141 7826 1288 8458 9938 7628 230 1655 582 1535 5 1175 3865 1484 7207 698 5265 9898 7377 7721 9840 1893 3368 3635 5944 3248 2043 5853 3630 72 8391 3501 4785 5201 943 5536 452 963 7949 4034 8000 5719 2147 3770 4439 3604 9381 9289 1094 4731 5112 8114 1140 6691 1309 4768 6358 159 3896 1229 8075 9926 2881 3057 4230 7231 9174 8499
447,6611 1735 34 3686 3291 3321 3124 4185 1175 3232 3925 2056 208 3759 1333 6935 445 166 2047 2444 3988 9965 5776 9769 7880 7702 9384 7638 121 4739 1733 8953 5045 5089 359 7082 9402 9183 2268 1133 3007 4937 5394 6871 7874 1795 1555 6565 7141 9652 1765 3580 9893 9305 135 94 1953 938 1370 5767 5482 5857 9812 1598 9743 4547 1655 9442 7527 6604 4301 3440 9265 9903 2392 398 1439 7939 3198 3998 5152 4817 2074 7954 2168 1567 676 4047 6894 1474 7745 663 16 4084 7338 2510 4625 5444 3256 1665 97 5892 2400 7398 9478 3749 9687 9768 2486 5724 4558 6353 2957 5041 3091 3162 9295 8615 6565 8489 2642 3937 1737 1689 4576 1077 4738 9273 2245 2206 4967 7294 602 3648 4176 4149 9368 9806 7889 1906 8446 271 7447 5251 1084 7307 2228 2463 8776 2241 7608 1082 1607 4447 77 5986 7151 5645 7052 9848 6029 7777 6182 3377 87 3912 7451 6003 4606 4967 9544 1648 9195 6130 8544 2009 7367 9042 3692 3723 8809 8774 1249 1866 7497 4213 3692 9762 9174 9574 2996 8933 9721 8132 347 689 511 777 6681 7619,6611 1735 34 3686 3291 3321 3124 4185 1175 3232 3925 2056 208 3759 1333 6935 445 166 2047 2444 3988 9965 5776 9769 7880 7702 9384 7638 121 4739 1733 8953 5045 5089 359 7082 9402 9183 2268 1133 3007 4937 5394 6871 7874 1795 1555 6565 7141 9652 1765 3580 9893 9305 135 94 1953 938 1370 5767 5482 5857 9812 1598 9743 4547 1655 9442 7527 6604 4301 3440 9265 9903 2392 398 1439 7939 3198 3998 5152 4817 2074 7954 2168 1567 676 4047 6894 1474 7745 663 16 4084 7338 2510 4625 5444 3256 1665 97 5892 2400 7398 9478 3749 9687 9768 2486 5724 4558 6353 2957 5041 3091 3162 9295 8615 6565 8489 2642 3937 1737 1689 4576 1077 4738 9273 2245 2206 4967 7294 602 3648 4176 4149 9368 9806 7889 1906 8446 271 7447 5251 1084 7307 2228 2463 8776 2241 7608 1082 1607 4447 77 5986 7151 5645 7052 9848 6029 7777 6182 3377 87 3912 7451 6003 4606 4967 9544 1648 9195 6130 8544 2009 7367 9042 3692 3723 8809 8774 1249 1866 7497 4213 3692 9762 9174 9574 2996 8933 9721 8132 347 689 511 777 6681 7619
448,1744 9770 6955 8780 2178 5091 4249 2149 4987 6009 321 6557 3298 8181 302 3891 6122 5261 8463 498 5127 9753 5041 6601 7473 713 7181 9534 2610 1258 5866 3431 1431 6914 7936 150 5278 6255 9367 7896 150 2689 8474 3753 5574 6641 3328 9744 4496 3311 5317 3996 7987 1855 9350 813 8165 2779 9597 3099 5429 425 7555 5704 7991 9279 8193 3091 9766 539 809 1920 2006 4202 7841 7918 9995 8151 2193 7654 9126 8038 3638 725 7996 1606 421 9828 4906 5712 2361 5045 4861 8273 8871 8368 84 607 4347 8616 4934 6186 653 5042 4347 941 4110 9063 7073 7903 7385 8389 2523 5536 448 193 2371 9165 4718 2845 2434 4953 9573 1333 8341 1094 1060 2713 1933 8534 6261 5114 8003 9181 7646 1959 8468 4827 2409 6525 6926 8883 6970 2651 8449 2630 4737 7825 5737 3587 3685 3691 3602 2957 3332 4808 84 7218 1939 667 7447 4980 3937 1047 9073 5991 6872 8391 2597 8382 9038 4748 9547 6665 2543 280 197 5537 2911 2431 4850 4687 6156 95 1291 6067 8824 3491 2777 85 3109 8136 8835 671 1199 6403 123 8819 7141 9408,1744 9770 6955 8780 2178 5091 4249 2149 4987 6009 321 6557 3298 8181 302 3891 6122 5261 8463 498 5127 9753 5041 6601 7473 713 7181 9534 2610 1258 5866 3431 1431 6914 7936 150 5278 6255 9367 7896 150 2689 8474 3753 5574 6641 3328 9744 4496 3311 5317 3996 7987 1855 9350 813 8165 2779 9597 3099 5429 425 7555 5704 7991 9279 8193 3091 9766 539 809 1920 2006 4202 7841 7918 9995 8151 2193 7654 9126 8038 3638 725 7996 1606 421 9828 4906 5712 2361 5045 4861 8273 8871 8368 84 607 4347 8616 4934 6186 653 5042 4347 941 4110 9063 7073 7903 7385 8389 2523 5536 448 193 2371 9165 4718 2845 2434 4953 9573 1333 8341 1094 1060 2713 1933 8534 6261 5114 8003 9181 7646 1959 8468 4827 2409 6525 6926 8883 6970 2651 8449 2630 4737 7825 5737 3587 3685 3691 3602 2957 3332 4808 84 7218 1939 667 7447 4980 3937 1047 9073 5991 6872 8391 2597 8382 9038 4748 9547 6665 2543 280 197 5537 2911 2431 4850 4687 6156 95 1291 6067 8824 3491 2777 85 3109 8136 8835 671 1199 6403 123 8819 7141 9408
449,7759 2715 606 3865 7426 3718 2429 3940 5011 8510 1160 5021 4857 267 8175 2734 5274 9475 4863 9259 2548 7065 669 6884 322 6989 3733 968 1810 5435 2802 5045 2483 6457 2940 111 527 4640 3632 1632 8273 8657 9374 1962 9673 9780 7653 2879 6251 3197 5489 2134 6062 7703 8623 3053 97 7287 5444 990 7905 3480 7392 964 6718 5157 4365 2679 8049 2409 4003 3582 6589 4243 8237 5094 6584 5058 9001 3748 8007 3692 9530 7609 9559 4101 4069 2183 7739 3535 455 8920 8147 9210 6678 8023 1461 7844 4912 4010 7556 8687 3732 5947 7547 6985 7841 9213 6986 9588 3716 9928 8556 9902 147 7435 5911 3855 3298 561 679 756 1841 1089 3032 7428 2211 975 3270 5773 1030 1327 8712 4035 6634 6339 4429 3168 7203 8846 844 8936 6358 6944 9490 7027 2369 8509 3549 6375 2331 2164 8530 6821 7514 1130 5695 9003 8367 5809 8781 3194 9663 5607 2246 3405 2201 6158 7405 7635 7543 8550 4790 6189 3039 8480 756 8731 3933 6841 2423 8107 1888 8601 1686 4124 3926 425 7023 9027 7315 2943 184 2847 8072 6388 5744 20 8354 3143,7759 2715 606 3865 7426 3718 2429 3940 5011 8510 1160 5021 4857 267 8175 2734 5274 9475 4863 9259 2548 7065 669 6884 322 6989 3733 968 1810 5435 2802 5045 2483 6457 2940 111 527 4640 3632 1632 8273 8657 9374 1962 9673 9780 7653 2879 6251 3197 5489 2134 6062 7703 8623 3053 97 7287 5444 990 7905 3480 7392 964 6718 5157 4365 2679 8049 2409 4003 3582 6589 4243 8237 5094 6584 5058 9001 3748 8007 3692 9530 7609 9559 4101 4069 2183 7739 3535 455 8920 8147 9210 6678 8023 1461 7844 4912 4010 7556 8687 3732 5947 7547 6985 7841 9213 6986 9588 3716 9928 8556 9902 147 7435 5911 3855 3298 561 679 756 1841 1089 3032 7428 2211 975 3270 5773 1030 1327 8712 4035 6634 6339 4429 3168 7203 8846 844 8936 6358 6944 9490 7027 2369 8509 3549 6375 2331 2164 8530 6821 7514 1130 5695 9003 8367 5809 8781 3194 9663 5607 2246 3405 2201 6158 7405 7635 7543 8550 4790 6189 3039 8480 756 8731 3933 6841 2423 8107 1888 8601 1686 4124 3926 425 7023 9027 7315 2943 184 2847 8072 6388 5744 20 8354 3143
